fecha	cols	rows	min_gain_to_split	max_depth	max_bin	seed	extra_trees	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	bagging_fraction	num_iterations	rmse_validate	rmse_test	ganancia	iteracion_bayesiana
20251207 192559	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.119522282329105	0.362005779790759	325	8	3.21357513873539	3.99570562319631	0.888863197624284	35	45.2473923178966	71.1325053000173	71.1325053000173	1
20251207 192658	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862685140461794	0.455076599570124	448	191	2.86457601826571	3.86563124118506	0.64143124243045	9143	66.5606071143648	111.27049925948	111.27049925948	2
20251207 192723	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.148441460961143	0.568948191958147	1418	102	4.52048065323782	6.19469018012751	0.755135719301844	922	55.4149538916929	87.6238329300721	87.6238329300721	3
20251207 192828	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.134375564789849	0.586204172359846	875	173	1.77711723010621	5.86251101423321	0.813535175788482	6395	62.5435020273363	108.022918951824	108.022918951824	4
20251207 193937	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0806964550888266	0.624750219691279	504	136	3.37903506392779	5.59490385764678	0.777967579536406	36942	66.3938060870589	96.7988664124624	96.7988664124624	5
20251207 193954	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.155416065019256	0.709098904491735	152	215	4.40483955067715	3.17913620882401	0.663964087595897	1080	101.934745426369	133.768636596187	133.768636596187	6
20251207 194017	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.100786378241277	0.422530157596339	1266	115	1.81493379965624	0.990076638824706	0.836382783353994	1261	57.1974162559671	97.8138077497017	97.8138077497017	7
20251207 194252	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.113266454701495	0.842896876938175	665	120	2.32404920251741	8.77573254185596	0.76452817355083	7492	58.5041506339023	95.2660805512772	95.2660805512772	8
20251207 194329	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0346367382071081	0.607318801146799	813	93	0.288935632270295	1.4253498780142	0.866972312291286	1092	49.1083758012516	84.7615384937277	84.7615384937277	9
20251207 194616	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0592710187914781	0.396302700598192	733	156	2.06562128529185	5.17020890281336	0.619099985415648	28801	62.1196765256648	98.4261318249596	98.4261318249596	10
20251207 194712	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.068013344969035	0.517046665578216	923	185	4.21887972762176	2.51131862609847	0.81703252193651	6745	69.5446006622227	109.063566185374	109.063566185374	11
20251207 194845	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0169781741167286	0.737467135028315	254	54	0.499364905616468	8.26039167403776	0.873858862499973	1792	53.8402874594753	73.5442772437586	73.5442772437586	12
20251207 194848	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.143984689769235	0.813622849738957	790	229	2.68094655716725	1.97474938127146	0.955430757267667	1	274.470777350186	310.644551382509	310.644551382509	13
20251207 194917	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162177420776653	0.764325957281315	1381	37	0.765503580540618	7.25862991721702	0.728898105051901	172	44.6295228575864	61.4526220179261	61.4526220179261	14
20251207 194930	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.176381038006761	0.476623125685312	435	16	3.87997291075798	4.82042191367197	0.604549683390983	23	36.6038143779639	77.0534272880829	77.0534272880829	15
20251207 194948	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.181143801539272	0.319478966664922	591	167	3.58207309053146	0.566721109041412	0.931415427978417	4065	58.0722554517257	102.680887510999	102.680887510999	16
20251207 195023	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0510257185202291	0.82175896071962	1094	23	2.62924935606342	4.61005348022029	0.904133551171981	259	42.4458513932467	68.3652469729513	68.3652469729513	17
20251207 195252	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043532772237252	0.88751584779072	1309	203	0.589143312245142	9.10041643032205	0.792243533478385	9400	70.629931146602	110.383976985073	110.383976985073	18
20251207 195606	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0717078474244668	0.663423728838097	1187	143	4.87461141181744	8.15290137318828	0.644475520688242	13840	60.7824717781806	100.098396803244	100.098396803244	19
20251207 195632	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.186926692503787	0.778406972037296	977	59	1.60094655917159	1.54736233392863	0.965462867716061	426	51.9713718408925	67.4271173994106	67.4271173994106	20
20251207 195633	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0470731750099055	0.699498281115666	79	250	1.22711277109504	7.50824113750631	0.971528095296318	1	274.470777350186	310.644551382509	310.644551382509	21
20251207 195640	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.106647074545451	0.324687760642597	62	42	0.89571789123251	6.89768546077955	0.848926344264432	153	51.3093636425004	71.8789904428975	71.8789904428975	22
20251207 195655	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.168777852541534	0.384632697317284	1455	79	3.93765177049707	3.48704546507049	0.691576430577386	733	49.2699492126722	84.2466358939466	84.2466358939466	23
20251207 200441	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.126473952765477	0.862169972052133	343	146	4.68222209709763	6.77548989728426	0.918741769992214	31630	66.3846358229219	91.1745938011044	91.1745938011044	24
20251207 200446	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0964473610116069	0.679432742540458	646	241	0.100688467708616	2.42016222560778	0.677897573242496	1	274.470777350186	310.644551382509	310.644551382509	25
20251207 200634	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0124130745368477	0.540416713000741	1141	92	1.34913083382084	9.58030102491778	0.995230862568133	4784	49.6872035075863	83.5328138396087	83.5328138396087	26
20251207 200638	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.196623732854163	0.448260361970668	1026	218	2.159073910651	9.79911338945385	0.707339297278252	1	274.470777350186	310.644551382509	310.644551382509	27
20251207 200708	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0255829474166135	0.507296367809509	204	73	3.41110014364988	0.324106289689163	0.727802578689131	1289	47.7095119091417	71.5565433492046	71.5565433492046	28
20251207 200854	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0733855665844365	0.898765766918053	13	179	4.91885299209951	0.444915208703761	0.606577389891694	8237	57.2266687006266	102.175026985475	102.175026985475	29
20251207 200914	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0897119482052403	0.544745368569394	891	46	3.70341179439302	4.90594772863347	0.812621593523223	355	51.3135765062603	73.2492036274226	73.2492036274226	30
20251207 200938	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.172887114823781	0.828198477530535	402	29	0.338342912758824	1.8308174301642	0.847522053251887	196	42.4393793742695	65.9407511954059	65.9407511954059	31
20251207 201019	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.186122435415003	0.563670885153899	978	22	0.544705953359611	9.23632100133298	0.983755321264195	109	45.992060751685	58.9252259360787	58.9252259360787	32
20251207 201034	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.158503325547084	0.373911710271622	1349	22	0.00227420547851985	1.10218088556312	0.878694145587218	77	42.2152229433753	71.1307592158352	71.1307592158352	33
20251207 201059	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.193383143335654	0.778812316391731	192	73	3.42712661794241	8.5761680696041	0.904015115895167	435	44.4051276380306	73.8406753554132	73.8406753554132	34
20251207 201131	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144007257867648	0.753271605586151	989	5	0.198415793015602	7.84543011364305	0.775001306593086	28	42.4236351866993	80.3627998597053	80.3627998597053	35
20251207 201152	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.196644760912912	0.866685550837818	1477	31	2.63531999545781	6.52650503139092	0.999711175166599	72	42.3984178925429	67.8005686660012	67.8005686660012	36
20251207 201215	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.152069858447236	0.679518510828871	937	36	0.0252809533372024	6.57018772855733	0.997948672436429	180	44.1386092347903	59.7358264024489	59.7358264024489	37
20251207 201250	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.111739893840125	0.898952018344152	1440	69	0.79036593745451	9.2661099601992	0.803032192003459	317	49.4325469244297	68.6599650326011	68.6599650326011	38
20251207 204017	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0132908709636445	0.893729530151731	1487	168	1.09092452381012	5.94451355395385	0.763260853596812	99899	57.1669281989325	95.0865225794895	95.0865225794895	39
20251207 204130	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14771577787693	0.542547024335461	536	66	0.0326235943003901	5.80343710223648	0.628030220020292	164	51.744233178036	73.140717301867	73.140717301867	40
20251207 204152	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.147258830522181	0.630960719582315	530	28	1.98229479915094	8.54268176130321	0.924350957556096	207	42.1626504198478	65.0330489383054	65.0330489383054	41
20251207 204211	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.162385948469036	0.414227357824626	1468	52	0.60959713326456	9.97734177620731	0.975436482160789	248	49.4851962894516	71.7030984074217	71.7030984074217	42
20251207 204316	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0123323608883383	0.475169880571481	92	21	0.616206332691764	1.06678269384191	0.999886821164636	1201	43.0674731320412	69.080348000049	69.080348000049	43
20251207 204410	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0384318141334854	0.565635611234343	1469	27	0.00176119796492839	9.95487600482845	0.992980259461092	984	42.6960745948816	64.2569484262019	64.2569484262019	44
20251207 204425	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.121762142074792	0.492344391630051	23	66	0.709195947345847	0.249601848972006	0.999471008701293	214	48.9284112842574	74.2109020316745	74.2109020316745	45
20251207 204527	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0330557272191876	0.893519405106039	1499	45	0.00334040042392931	2.13191505795894	0.917416766016186	1070	53.3973018195813	65.2832139930684	65.2832139930684	46
20251207 204701	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0109010941514605	0.615899156776068	843	34	0.0267911954193515	0.692758128245641	0.657472999958596	1628	43.8913497399938	69.2266877286756	69.2266877286756	47
20251207 204713	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0944369647902391	0.330245051143074	612	22	0.0201123857278836	6.73938137934999	0.792421316597592	187	40.938588678278	68.6768863121817	68.6768863121817	48
20251207 204731	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115886213546199	0.89963199708602	32	54	2.30429763955289	0.029445961806108	0.610340497717282	235	53.9346551388759	73.4621923406746	73.4621923406746	49
20251207 211804	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0100919843886875	0.79513072935419	1411	61	1.62514417231319	3.210426752156	0.60311585561096	13982	51.8648987023641	69.239143385576	69.239143385576	50
20251207 211854	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.028044717081276	0.897206727476099	1037	73	3.62584313470236	2.33179915403879	0.975582085713091	997	47.7821113506779	67.2011089406564	67.2011089406564	51
20251207 211913	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.199860526496461	0.899678311911671	1170	44	0.310410957070306	2.37363351587023	0.600037691660189	79	52.9220328409887	64.4712450063263	64.4712450063263	52
20251207 211926	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.186107717243048	0.473813083839594	35	16	0.0549382867960213	7.00576239732744	0.992126547512003	21	44.0304462507274	78.382172634329	78.382172634329	53
20251207 211940	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.137079935123207	0.3054455418516	1400	15	3.82850707495686	9.99271579990545	0.998943747656795	130	44.6127621570681	70.7072027455269	70.7072027455269	54
20251207 212005	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.108908106759862	0.610710617153451	1094	28	0.958661349120367	3.62605551795932	0.999581975601464	239	39.3321006588141	65.736732136892	65.736732136892	55
20251207 212031	3138	435	0	-1	255	999983	FALSE	rmse	TRUE	regression	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0243821146068614	0.302540125422989	225	23	4.99305594973734	0.289759801989929	0.841658870979138	952	40.3889383508122	67.6880937128209	67.6880937128209	56
