Feature	Gain	Cover	Frequency
urban_x_oop	0.870679715050346	0.0341751746372918	0.028995756718529
pop65_x_oop_rank	0.0464119671374455	0.00126348809852303	0.000707213578500707
EN.URB.LCTY_min2	0.0122064612209218	0.00100207676779412	0.00141442715700141
pop65_x_oop	0.00704828816639125	0.00879503899385683	0.00848656294200849
urban_x_oop_lag1	0.00685229714825225	0.0279535849659439	0.0190947666195191
SP.POP.2024.FE.5Y_rank	0.00642885196434506	0.00422324527644248	0.00282885431400283
EN.GHG.N2O.FE.MT.CE.AR5	0.00433683859540197	0.000792947703211002	0.00141442715700141
NY.GDP.DEFL.ZS_lag1	0.00331849422175155	0.000499586098726346	0.00141442715700141
TX.VAL.MRCH.R2.ZS	0.00314295611396577	0.000705810592968035	0.00141442715700141
urban_x_oop_delta1	0.00245763182066703	0.00361328550474171	0.00282885431400283
EN.GHG.N2O.FE.MT.CE.AR5_max2	0.00137311047307148	0.00040083070711765	0.000707213578500707
AG.PRD.CROP.XD_max2	0.00127995174955809	0.00136805263081459	0.00282885431400283
NE.CON.PRVT.PC.KD_avg2	0.00120611678707855	0.000287552463801792	0.000707213578500707
SP.POP.4044.MA.5Y	0.00111928439488766	0.00379046429556908	0.00212164073550212
urban_x_oop_rank	0.00102144461632633	0.00512656665262791	0.00353606789250354
BG.GSR.NFSV.GD.ZS_min2	0.000887274967724497	0.000270125041753199	0.000707213578500707
BG.GSR.NFSV.GD.ZS_max2	0.000846459099461058	0.000226556486631715	0.000707213578500707
EN.GHG.CH4.PI.MT.CE.AR5_tend2	0.00078286878278508	0.00838549457571489	0.00495049504950495
TX.VAL.MRCH.RS.ZS_lag1	0.000620892675014556	0.000938176220282615	0.000707213578500707
SP.POP.4549.MA.5Y_lag1	0.000617398762292183	0.00952699071989776	0.00565770862800566
NE.TRD.GNFS.ZS_lag1	0.000609030182315056	0.000781329421845274	0.00141442715700141
MS.MIL.XPND.GD.ZS_avg2	0.000600233079867463	0.00116763727725576	0.00141442715700141
SP.POP.3034.FE.5Y_delta1	0.000579991613141461	0.00670374834802562	0.00424328147100424
TX.VAL.MRCH.RS.ZS_rank	0.000545195093336019	0.00206514951275833	0.00141442715700141
AG.LND.AGRI.K2_min2	0.000523220150609359	0.000270125041753199	0.000707213578500707
SP.POP.2024.MA.5Y_lag1	0.000510570847745792	0.00152489942925193	0.00141442715700141
MS.MIL.XPND.GD.ZS_lag1	0.000482441996806869	0.000252697619704605	0.000707213578500707
SE.TER.ENRR	0.000480651280454368	0.00793238160245146	0.00565770862800566
NE.EXP.GNFS.ZS	0.000475643717425383	0.00252697619704605	0.00141442715700141
BX.TRF.CURR.CD	0.000453092199021929	0.00110083215940282	0.00141442715700141
EN.GHG.CH4.BU.MT.CE.AR5_min2	0.000441555259057022	0.000705810592968035	0.000707213578500707
NY.GDP.TOTL.RT.ZS_lag1	0.000439203603208295	0.00907968688731719	0.00565770862800566
SP.POP.5054.MA.5Y_delta1	0.000422243143778131	0.00346515241732867	0.00212164073550212
SP.POP.65UP.TO.ZS	0.000397710141501791	0.00114149614418287	0.000707213578500707
NE.CON.PRVT.PC.KD_max2	0.000359664649894066	0.000531536372482101	0.00141442715700141
NY.GSR.NFCY.CN_delta1	0.000346843477249331	0.00756931030977243	0.00565770862800566
SP.POP.7074.FE.5Y_delta1	0.00032961186573493	0.0023875568206573	0.00141442715700141
NE.EXP.GNFS.CN	0.000323267916134781	0.000418258129166243	0.000707213578500707
SP.RUR.TOTL.ZS_delta1	0.000316230749591153	0.000487967817360617	0.000707213578500707
TM.VAL.MRCH.R1.ZS_delta1	0.00029727755468271	0.00397054765673788	0.00424328147100424
IS.AIR.GOOD.MT.K1_tend2	0.000274741890103564	0.00736599038587217	0.00424328147100424
DT.ODA.ODAT.GN.ZS_max2	0.000264038222498112	0.000938176220282615	0.000707213578500707
TM.VAL.MRCH.WL.CD_delta1	0.000262810416002502	0.00266349100309337	0.00212164073550212
FS.AST.CGOV.GD.ZS_rank	0.000262495274837193	0.000546059224189262	0.000707213578500707
SE.ENR.PRIM.FM.ZS	0.000260099093251266	0.00126348809852303	0.000707213578500707
NE.CON.PRVT.KD.ZG	0.000257570118106716	0.000267220471411766	0.000707213578500707
SM.POP.RHCR.EA_delta1	0.000255158318561895	0.0018734478702238	0.00212164073550212
SH.MMR.DTHS_lag1	0.000246336076762085	0.00654690154958828	0.00424328147100424
AG.LND.AGRI.K2_ratioavg2	0.00023819915509687	0.0050539523940921	0.00282885431400283
NV.IND.TOTL.CN_isNA_rank	0.000234772031803055	0.00617221197554352	0.00424328147100424
SH.DYN.MORT_lag1	0.000233114916812525	0.00103402704154988	0.000707213578500707
AG.LND.AGRI.K2	0.000223316962521075	0.000743570007406654	0.000707213578500707
DT.ODA.ODAT.PC.ZS_isNA_rank	0.000221421674570908	0.00126348809852303	0.000707213578500707
AG.LND.AGRI.ZS_min2	0.000215142340720583	0.00103402704154988	0.000707213578500707
EN.GHG.N2O.PI.MT.CE.AR5_max2	0.000215131177537497	0.00225394658495142	0.00141442715700141
SP.URB.TOTL.IN.ZS_lag1	0.000211741026625144	0.000322407307898979	0.000707213578500707
EN.GHG.CH4.BU.MT.CE.AR5_tend2	0.000210830756731107	0.00937595306214328	0.00636492220650637
SP.POP.DPND.OL_lag1	0.000208670073366349	0.00114149614418287	0.000707213578500707
SP.POP.5054.MA.5Y_lag1	0.000207189800907473	0.00229461056973147	0.00141442715700141
NE.CON.PRVT.ZS_avg2	0.000207133004651461	0.00356971694962023	0.00212164073550212
TX.VAL.MRCH.R3.ZS_delta1	0.000202292699263235	0.00252697619704605	0.00141442715700141
AG.LND.AGRI.ZS_max2	0.000200910397364689	0.000734856296382358	0.000707213578500707
SP.POP.7074.MA.5Y_rank	0.000192110129330772	0.000760997429455248	0.00141442715700141
SP.POP.4044.FE.5Y_lag1	0.000185899323300259	0.000217842775607418	0.000707213578500707
AG.YLD.CREL.KG_min2	0.000183326435712141	0.0050539523940921	0.00282885431400283
SP.POP.0004.MA.5Y	0.000175531959943008	0.0023062288510972	0.00141442715700141
SE.ENR.PRIM.FM.ZS_lag1	0.000174131556589979	0.00126348809852303	0.000707213578500707
SP.POP.6064.FE.5Y	0.000167031251776642	0.00101950418984272	0.000707213578500707
FS.AST.CGOV.GD.ZS_avg2	0.000166661829381907	0.000807470554918164	0.00141442715700141
SP.DYN.CBRT.IN_lag1	0.000162943033325717	0.000639005475115094	0.00141442715700141
SP.POP.4044.FE.5Y_delta1	0.000161389835259324	0.00352614839449874	0.00282885431400283
NV.IND.MANF.KD	0.000159621753516931	0.00152780399959336	0.00141442715700141
SP.POP.0014.FE.ZS_delta1	0.000153962398112469	0.000252697619704605	0.000707213578500707
NE.IMP.GNFS.ZS_delta1	0.000152743638859478	0.00213776377129413	0.00141442715700141
AG.LND.AGRI.ZS	0.000152209629690652	0.000755188288772383	0.000707213578500707
SP.DYN.LE00.FE.IN_lag1	0.000145037662445603	0.00115020985520717	0.000707213578500707
SH.DYN.MORT.FE	0.000143744886704534	0.00292490233382227	0.00212164073550212
EG.ELC.HYRO.ZS_max2	0.000142304045464161	0.0050539523940921	0.00282885431400283
EN.GHG.CO2.IC.MT.CE.AR5_min2	0.000134784607109612	0.000261411330728902	0.000707213578500707
ER.H2O.INTR.PC_tend2	0.000130860989855246	0.000217842775607418	0.000707213578500707
SP.POP.7579.MA.5Y_delta1	0.000126854780455817	0.00483610961848469	0.00353606789250354
SP.RUR.TOTL.ZS_rank	0.000124885155819444	0.000487967817360617	0.000707213578500707
NE.IMP.GNFS.CN_delta1	0.000124569761825384	0.00166141423529924	0.00141442715700141
NE.IMP.GNFS.CD_delta1	0.000122659197288373	0.00115020985520717	0.000707213578500707
SP.POP.5054.FE.5Y	0.00012243282844045	0.00404316191527368	0.00282885431400283
SP.POP.5054.FE.5Y_delta1	0.000122050726349898	0.0040083070711765	0.00282885431400283
NE.IMP.GNFS.CN_lag1	0.000120520425571264	0.000627387193749365	0.000707213578500707
TX.VAL.TRAN.ZS.WT_delta1	0.000119844433022041	0.00647138272071104	0.00424328147100424
SP.DYN.LE00.MA.IN	0.000119756108381904	0.0050539523940921	0.00282885431400283
BM.GSR.TOTL.CD_isNA_rank	0.000116202331289841	0.0039182653905921	0.00353606789250354
YearsSinceFirst_rank	0.000116098700443566	0.00406639847800514	0.00282885431400283
EN.URB.MCTY.TL.ZS_max2	0.000115335244730426	0.000578009497945017	0.000707213578500707
AG.YLD.CREL.KG_lag1	0.000114505833236361	0.00189958900329669	0.00141442715700141
SP.POP.5559.FE.5Y_lag1	0.000112742423356944	0.00692159112363304	0.00424328147100424
EN.GHG.N2O.MT.CE.AR5_ratioavg2	0.000112068196277399	0.0071888115950448	0.00565770862800566
TM.VAL.MRCH.OR.ZS_lag1	0.000111654974955528	0.00126348809852303	0.000707213578500707
TX.VAL.MRCH.R3.ZS	0.000110636709289443	0.000438590121556269	0.000707213578500707
AG.PRD.CROP.XD_lag1	0.000110025667497819	0.00249212135294887	0.00212164073550212
NE.EXP.GNFS.KD_delta1	0.00010929011470905	0.000270125041753199	0.000707213578500707
SH.DYN.MORT.FE_lag1	0.000108524282870264	0.00359004894201025	0.00282885431400283
DC.DAC.JPNL.CD_min2	0.000106883885019369	0.000740665437065222	0.000707213578500707
DT.ODA.ODAT.KD_isNA_rank	0.000102508021207397	0.00787138562528138	0.00495049504950495
FS.AST.CGOV.GD.ZS_min2	9.82106154225835e-05	0.00116763727725576	0.00141442715700141
SP.POP.6064.MA.5Y_delta1	9.75996384836635e-05	0.0019460621287596	0.00141442715700141
TX.VAL.MANF.ZS.UN_lag1	9.60410696454135e-05	0.0026751092844591	0.00212164073550212
NE.CON.TOTL.KD.ZG_tend2	9.57404326422017e-05	0.000235270197656012	0.000707213578500707
NY.GDP.FCST.CD	9.29992517059604e-05	0.000909130516868292	0.000707213578500707
AG.LND.TOTL.K2_ratioavg2	8.90108105923465e-05	0.00494648329145911	0.00282885431400283
SP.POP.80UP.FE.5Y_delta1	8.75071325021458e-05	0.00171660107178646	0.00141442715700141
SP.POP.0014.MA.ZS	8.51433861734579e-05	0.00229461056973147	0.00141442715700141
SM.POP.NETM_delta1	8.43382137163643e-05	0.00252697619704605	0.00141442715700141
SP.POP.DPND.YG	8.39042743995831e-05	0.00113568700350001	0.000707213578500707
SM.POP.NETM_lag1	8.32683301617026e-05	0.00298589831099235	0.00212164073550212
EG.ELC.NUCL.ZS_lag1	8.28754650389287e-05	0.00104854989325704	0.000707213578500707
EG.ELC.PETR.ZS_ratioavg2	8.2054052932335e-05	0.0035668123792788	0.00212164073550212
SP.POP.2529.FE.5Y_lag1	8.11042231791327e-05	0.00200996267627111	0.00212164073550212
FS.AST.PRVT.GD.ZS_max2	7.98054534026807e-05	0.00126348809852303	0.000707213578500707
MS.MIL.MPRT.KD_tend2	7.78160335914997e-05	0.00435685551214837	0.00495049504950495
AG.LND.AGRI.K2_ratiomax2	7.75191504951142e-05	0.00126348809852303	0.000707213578500707
NV.SRV.TOTL.KD_isNA_rank	7.69064728666233e-05	0.00280581494982355	0.00212164073550212
IT.CEL.SETS.P2	7.68085909705864e-05	0.00136805263081459	0.00141442715700141
EN.GHG.CH4.BU.MT.CE.AR5_ratioavg2	7.64097150910795e-05	0.00634067705534659	0.00495049504950495
AG.LND.TOTL.K2_tend2	7.48266880717955e-05	0.00576266755740157	0.00353606789250354
SE.TER.ENRR_lag1	7.31901895139378e-05	0.00101950418984272	0.000707213578500707
BX.GSR.TRAN.ZS_tend2	7.05507879760622e-05	0.00670374834802562	0.00565770862800566
EN.GHG.ALL.MT.CE.AR5_ratioavg2	6.95176816397802e-05	0.000659337467505119	0.00141442715700141
SP.POP.1014.MA.5Y_lag1	6.84622051375513e-05	0.00194025298807674	0.00141442715700141
TM.VAL.MRCH.AL.ZS	6.83985511436506e-05	0.000508299809750643	0.000707213578500707
BX.GSR.TRVL.ZS_ratioavg2	6.81966102766961e-05	0.00126348809852303	0.000707213578500707
SP.URB.GROW	6.75418519547483e-05	0.00320374108659976	0.00212164073550212
NY.GDP.PCAP.KD_delta1	6.72843390959652e-05	0.00312241311703966	0.00212164073550212
EN.GHG.N2O.PI.MT.CE.AR5_ratioavg2	6.44609823303038e-05	0.00387179226512918	0.00282885431400283
NY.GDP.COAL.RT.ZS_isNA_rank	6.14023470380595e-05	0.00501909754999492	0.00424328147100424
FP.CPI.TOTL.ZG_avg2	6.12223465971413e-05	0.00126348809852303	0.000707213578500707
NY.ADJ.AEDU.GN.ZS_delta1	5.81036121889872e-05	0.00126348809852303	0.000707213578500707
NE.RSB.GNFS.ZS_lag1	5.7850227446813e-05	0.00252697619704605	0.00141442715700141
NE.EXP.GNFS.ZS_delta1	5.65232845909184e-05	0.000476349535994888	0.000707213578500707
SH.DYN.MORT.MA_lag1	5.64432296385153e-05	0.00691578198295017	0.00424328147100424
BX.PEF.TOTL.CD.WD_lag1	5.64236091788281e-05	0.00356971694962023	0.00212164073550212
