Feature	Gain	Cover	Frequency
urban_x_oop	0.848176738475937	0.0116655878473047	0.00805131897623879
urban_x_oop_lag1	0.0668299405913105	0.00349923741322137	0.0030110623813576
BG.GSR.NFSV.GD.ZS_avg2	0.0143193293780636	8.51545481892807e-05	0.0002618315114224
pop65_x_oop	0.0107030602308038	0.00307756145466208	0.0032074360149244
TM.VAL.MRCH.HI.ZS	0.00772095504891341	0.000237613378452563	0.000523663022844799
BG.GSR.NFSV.GD.ZS_max2	0.00327051144613034	7.54978468482283e-05	0.0001963736335668
SP.POP.2024.FE.5Y_rank	0.00280262400346977	0.00126678363955806	0.000589120900700399
EN.GHG.N2O.FE.MT.CE.AR5	0.00257766670944817	0.00021332531144325	0.000523663022844799
TM.VAL.MRCH.HI.ZS_rank	0.00226906656882059	7.72536107284196e-05	0.0002618315114224
SP.POP.4549.FE.5Y	0.00195899657301915	0.000232638714125355	0.0003927472671336
NE.CON.PRVT.PC.KD_avg2	0.00165427332502348	8.95439578897591e-05	0.0001963736335668
EN.GHG.CO2.RT.GDP.KD_min2	0.00126581133018446	9.3348112963507e-05	0.0002618315114224
TX.VAL.MRCH.RS.ZS_lag1	0.00110926263287757	0.000229712440991702	0.0003927472671336
SE.ENR.PRIM.FM.ZS_lag1	0.0010051506406323	0.000990250828427924	0.00163644694639
SE.ENR.PRIM.FM.ZS	0.000984051524752718	0.000515901953462893	0.0010473260456896
FI.RES.TOTL.MO_rank	0.000896495808476761	0.000381586016628254	0.0004582051449892
NY.GDP.DEFL.ZS	0.000718365508753985	0.000213617938756615	0.000785494534267199
BM.GSR.INSF.ZS_min2	0.000682918057979818	0.000415238157665255	0.000654578778555999
SP.POP.0014.FE.IN_delta1	0.000632733683915439	0.000100663795797638	0.000327289389278
NY.GDP.DEFL.ZS_lag1	0.000613425282296218	0.000204253864728928	0.0003927472671336
urban_x_oop_delta1	0.000542513785104284	0.00179819484062931	0.0024873993585128
TX.VAL.MRCH.R2.ZS	0.000534466204928835	0.000165334432051353	0.0003927472671336
NY.GDP.DEFL.KD.ZG_lag1	0.00050950298372424	0.000212447429503154	0.000327289389278
NY.GDP.TOTL.RT.ZS	0.000507340952756834	0.00737040414172994	0.0035347254042024
BM.GSR.TOTL.CD_isNA_rank	0.000500146060136848	0.000321597417388383	0.0011127839235452
SP.POP.7074.MA.5Y_rank	0.000498624897068532	0.000246099570540155	0.0003927472671336
TM.VAL.MRCH.R3.ZS	0.000496775906805169	0.000277118065756869	0.000589120900700399
EN.GHG.CH4.BU.MT.CE.AR5_ratioavg2	0.000451703393832818	0.0111760223520447	0.00726582444197159
EN.GHG.CH4.PI.MT.CE.AR5_tend2	0.000448631006653791	0.000791264255339571	0.000850952412122799
MS.MIL.XPND.CD_ratioavg2	0.000441599327010841	0.00067977324894742	0.0010473260456896
AG.PRD.LVSK.XD_tend2	0.000438700400904877	0.000118806689226282	0.0002618315114224
EN.URB.LCTY_lag1	0.000427058265762897	5.61844441661234e-05	6.54578778555999e-05
ER.FSH.CAPT.MT_ratioavg2	0.00042623302979575	0.0181850317617686	0.0106041762126072
SP.DYN.AMRT.MA_lag1	0.000424962460816294	0.00455415887790301	0.0023564836028016
SH.DYN.NMRT	0.000424340961104294	0.000645828480597053	0.0004582051449892
BM.GSR.TRAN.ZS_min2	0.000404366382173341	0.000377196606927776	0.000589120900700399
EN.POP.DNST_min2	0.000403569066415573	0.000169723841751831	0.0001963736335668
SH.DTH.NMRT_delta1	0.0003835589985849	0.000378952370807967	0.000589120900700399
AG.LND.AGRI.ZS_ratioavg2	0.000379249800072419	0.0128290740452449	0.00772402958696079
EN.GHG.N2O.PI.MT.CE.AR5_tend2	0.00037800845405019	0.0109825956979103	0.00569483537343719
SE.SEC.ENRL.GC.FE.ZS	0.000362417320670309	0.000169723841751831	0.000523663022844799
TG.VAL.TOTL.GD.ZS	0.000353466102380832	0.000597252346578426	0.000981868167833999
EN.GHG.N2O.MT.CE.AR5_ratioavg2	0.000350087656469934	0.0437296404546726	0.0260522353865288
NE.RSB.GNFS.ZS_lag1	0.000318179047015744	0.00616097545559146	0.003600183282058
AG.YLD.CREL.KG_min2	0.00031616698389164	0.0102188384100271	0.00530208810630359
SP.POP.5054.MA.5Y_delta1	0.000311815022493851	0.00468584116891736	0.0030110623813576
