Feature	Gain	Cover	Frequency
urban_x_oop	0.847455801769702	0.0121569387390714	0.00833825750114897
urban_x_oop_lag1	0.0668461195536771	0.00445796061784391	0.00367671196901057
BG.GSR.NFSV.GD.ZS_avg2	0.0143193510084851	0.000427788716249938	0.000656555708751888
pop65_x_oop	0.0120474351022597	0.003404028160929	0.00328277854375944
TM.VAL.MRCH.HI.ZS	0.00821718171325223	0.000266910908429449	0.000459588996126321
BG.GSR.NFSV.GD.ZS_max2	0.00327050289039114	0.000135588303939617	0.000262622283500755
EN.GHG.N2O.FE.MT.CE.AR5	0.00236861852208609	0.00021237089403576	0.000328277854375944
TM.VAL.MRCH.HI.ZS_rank	0.00226798961346145	3.99147591372806e-05	0.000131311141750378
SP.POP.4549.FE.5Y	0.00195899458212575	0.000150518252013867	0.000328277854375944
SP.POP.2024.FE.5Y_rank	0.00174748976473416	0.000952165055755739	0.000590900137876699
NE.CON.PRVT.PC.KD_avg2	0.00165427197580474	9.32360022596019e-05	0.000196966712625566
EN.GHG.CO2.RT.GDP.KD_min2	0.00126570864510226	0.00012614282658652	0.000328277854375944
TX.VAL.MRCH.RS.ZS_lag1	0.00102727720480951	0.000251980960355199	0.000328277854375944
TX.VAL.MRCH.R2.ZS	0.00101202383838685	0.00094576650658106	0.0017727004136301
SE.ENR.PRIM.FM.ZS_lag1	0.00100450180995636	0.00035344366869653	0.000984833563127831
SE.ENR.PRIM.FM.ZS	0.000983820401718763	0.000339427799075806	0.000919177992252643
FI.RES.TOTL.MO_rank	0.000896814047831312	0.000416210389171949	0.000459588996126321
NY.GDP.DEFL.ZS	0.000717917868368922	0.000162096579091857	0.000393933425251133
NY.GDP.DEFL.ZS_lag1	0.000709027845602937	0.000236441626645265	0.00052524456700151
BM.GSR.INSF.ZS_min2	0.000690893250641702	0.000426874637796413	0.000722211279627076
SP.POP.0014.FE.IN_delta1	0.000632754462639322	7.43450475534081e-05	0.000262622283500755
FP.CPI.TOTL	0.000605030994443616	0.000233699391284689	0.000656555708751888
urban_x_oop_delta1	0.000532695616673459	0.00204113718672246	0.0023636005515068
NY.ADJ.DFOR.GN.ZS_isNA_rank	0.000529390617168335	0.00822792485300095	0.0052524456700151
SP.POP.7074.MA.5Y_rank	0.000510348929745719	0.000162401271909699	0.000262622283500755
TM.VAL.MRCH.R3.ZS	0.000496891630574185	0.000403413290822591	0.000656555708751888
MS.MIL.XPND.CD_ratioavg2	0.000465385056272221	0.000860452517585346	0.00105048913400302
AG.PRD.LVSK.XD_tend2	0.000463341669634917	0.000843085026968361	0.0011818002757534
NY.GDP.TOTL.RT.ZS	0.000462689139522672	0.00866119803997204	0.00420195653601208
NY.GDP.DEFL.KD.ZG_lag1	0.000447863380622836	0.000180682840980209	0.000459588996126321
SP.DYN.AMRT.MA_lag1	0.000446449386503759	0.0052291381398016	0.00249491169325717
TX.VAL.MRCH.R6.ZS	0.000426669971048739	0.000318403994644719	0.000656555708751888
BM.GSR.TRAN.ZS_min2	0.000404970256842146	0.000241926097366418	0.000393933425251133
EN.POP.DNST_min2	0.000403375095734772	0.000167885742630852	0.000196966712625566
DT.ODA.ODAT.CD_isNA_rank	0.000396271789110186	0.00040310859800475	0.000393933425251133
ER.FSH.CAPT.MT_ratioavg2	0.00039092821412828	0.0190018628918883	0.0112271026196573
AG.YLD.CREL.KG_min2	0.000374205958479081	0.00838209941882892	0.00426761210688727
EN.GHG.CH4.PI.MT.CE.AR5_ratioavg2	0.000362994729334611	0.000644120616917642	0.00111614470487821
TM.VAL.MRCH.RS.ZS	0.000358463299210632	0.000508532312978025	0.0011818002757534
EN.GHG.N2O.MT.CE.AR5_tend2	0.000357338510979766	0.000989337579532443	0.00111614470487821
EN.GHG.N2O.PI.MT.CE.AR5_tend2	0.000351189687088011	0.00874407448642502	0.00426761210688727
NE.EXP.GNFS.KD.ZG_lag1	0.000327923063711872	0.000327544779179974	0.000787866850502265
SH.DYN.NMRT	0.00030461988879307	0.000397624127283597	0.000262622283500755
EN.GHG.CH4.BU.MT.CE.AR5_ratioavg2	0.000303566881044591	0.0111161080733237	0.00669686822926925
AG.LND.AGRI.ZS_ratioavg2	0.000297871189578107	0.0199589030327295	0.0120149694701595
NE.IMP.GNFS.ZS	0.000296354717225633	0.000297989575849316	0.000722211279627076
NE.RSB.GNFS.ZS_lag1	0.000295557274014123	0.00830409805746141	0.00472720110301359
TG.VAL.TOTL.GD.ZS_lag1	0.000262408854259749	0.000377514401306035	0.000722211279627076
